FID	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10
4539529	-14.6661	5.72976	-2.48814	6.99969	17.7936	0.581695	-2.42692	4.89985	3.34873	-3.73272
4913269	-11.1895	5.22018	-2.35511	1.19872	2.88507	-3.52122	0.772802	-3.77091	1.5197	-3.8008
4555732	-13.9621	1.40619	-4.49162	2.40378	-5.05295	-2.65376	2.36113	-0.649361	6.88031	2.73096
1178818	-10.3633	4.94809	-3.38755	1.30918	-6.44884	0.805124	-2.45906	-0.717672	1.8376	-0.281348
4366582	-13.377	3.73527	-4.57454	-1.41347	-4.0302	-0.233173	1.43741	2.0702	4.364	0.0566521
3767717	-13.7726	2.54064	-3.97048	1.92632	4.2608	1.21631	0.591978	-1.87199	-2.77736	2.04773
1399272	-12.7713	6.54467	-1.40241	-0.0683896	0.164421	-0.813978	-0.951442	2.00972	2.35155	-1.75176
2601087	-13.9114	5.22401	-3.66111	2.57026	7.25026	1.71072	-1.33561	0.206223	3.8025	-0.249992
2011261	81.5871	-121.301	72.9109	25.3551	-4.82001	-0.0176596	-5.12471	-5.41216	-1.18407	-6.28917
1412615	-13.942	4.11139	-0.283081	0.489511	-1.17269	-2.62097	1.55774	-3.19879	-6.47821	-1.40888
1374997	-13.537	4.09344	0.154686	1.03955	-7.27333	-4.03664	0.288542	-2.59844	5.43555	-0.942245
5113964	-13.9607	4.58214	-3.24085	2.4749	-1.21185	-1.79554	0.309788	-3.431	2.20376	3.42208
2382138	-9.94948	1.32899	-0.274845	3.21187	1.6195	-0.391984	1.68042	0.207456	-6.15783	2.03231
1011211	-12.869	2.36308	2.48132	7.5761	15.5654	1.27079	0.817707	2.06502	3.17021	-2.57865
5292801	-11.4593	3.83561	-1.05987	0.217285	0.073669	-2.3799	1.1413	2.37487	-0.876896	1.13533
3005629	-8.88619	2.14827	-1.61426	1.56093	-7.86876	-1.1816	-1.73507	3.17506	-0.354373	-2.68731
3630286	-12.4252	5.45318	-1.34787	0.908697	4.33019	1.72224	-1.49919	1.7991	-1.76963	-0.740069
4030161	-14.4879	8.16022	-4.50842	3.72293	0.274847	-1.89488	1.37646	-2.1623	2.45014	2.08652
1007807	-12.4381	3.50761	-1.26574	3.11032	-2.60268	1.56771	-1.16815	-0.267502	1.31551	1.67538
2846986	-13.3562	2.64792	0.772726	3.82578	9.469	-1.26275	2.03707	-1.14182	-13.8201	4.07659
1968886	-12.2077	3.05506	-1.5064	0.20649	-3.00491	-1.1534	-0.185902	-1.17101	1.76653	4.95514
1704671	-12.1323	2.93695	-1.94812	4.43495	11.1441	-0.14372	-1.9326	3.0261	-8.75755	-0.984992
3469351	-10.0716	3.04951	-1.91589	5.5653	7.15049	0.345202	-0.145367	2.8032	4.43276	-3.77285
4363615	-12.9127	3.83773	0.758867	-1.66376	-3.31386	-1.72371	1.13362	-1.58709	-1.42385	2.82975
4262315	-12.3598	2.28847	-1.39439	-1.27952	-4.65123	-0.416664	4.08986	0.660899	0.888707	-2.1744
3590252	-13.3947	4.97753	-1.46907	-0.709874	1.70839	-0.419537	1.54141	0.669267	-4.17469	-1.09408
3114365	-11.1959	1.72515	-1.07217	-0.149743	-0.446028	1.84385	0.969557	0.233461	-2.76736	2.46577
5396966	18.0187	-11.0065	29.231	-86.2485	15.9854	-7.01446	-31.8968	-21.2434	-0.867371	4.70603
2457625	-14.358	3.2677	-1.81827	-2.04593	-8.08914	0.0780022	0.0809925	0.779002	4.22022	5.06942
3515406	355.269	65.2996	-8.19446	3.45848	-0.321578	-1.15646	-2.32636	0.444039	-1.99521	1.90288
3371024	-14.7446	6.51792	-1.4129	9.17648	14.7443	-0.833004	-0.71238	2.9679	3.91229	-1.217
5328836	-14.2876	4.61415	0.809963	5.81793	7.55359	0.391311	0.255857	-1.59676	5.01987	-3.93675
1161640	12.7462	-6.03566	26.9504	-71.7939	12.9022	-2.31564	-10.6072	-6.755	-1.00389	-2.94232
5468305	-10.7687	3.17561	-2.14147	1.24511	-5.15392	-2.85227	1.11622	-0.380919	-1.31557	-1.19622
2804069	-14.2462	2.08494	0.362172	5.12479	19.9415	2.05805	2.82069	0.958422	-1.25678	0.745843
1879648	-10.3391	3.3392	-2.97197	5.51945	8.45947	-1.1169	2.31182	1.29541	-0.834023	-2.19913
1807764	-12.3849	3.31887	1.34966	-2.50799	-7.57684	-0.397328	0.562891	-1.84717	-1.68946	-0.356242
5070019	-12.9867	4.91608	-2.59917	-1.89877	-6.68155	-4.68761	1.44903	-2.70601	4.40678	0.958007
1933020	3.52743	-4.9502	11.7819	-39.2511	2.73708	-1.1624	-20.1597	-6.20035	-4.07521	0.450137
2095225	-13.535	4.50522	-0.956964	1.52654	6.51225	-0.798277	-0.12772	-0.44802	3.20864	0.332232
1956815	-11.3532	3.9068	-1.39675	2.72473	7.80269	-1.19446	-0.265693	0.445427	-0.511416	2.10543
5177243	-11.6386	1.4291	1.64279	-1.29514	-4.92267	-0.273662	0.523974	-2.23703	4.61171	2.74945
5218762	-12.5088	-0.156896	-3.99186	6.29132	12.233	-2.99778	0.419507	-2.70858	2.24445	1.95822
5057599	-11.6582	5.23628	-2.45778	-2.53108	-10.1155	0.472219	1.28997	-0.892904	-1.69455	-1.84937
3346194	-11.6419	5.77889	-1.55078	3.36685	6.43422	-1.9033	2.61784	-1.6002	-1.64941	-1.62319
3143737	-11.2694	1.87378	-1.43323	-3.1452	-7.48419	-1.35476	2.26056	0.455018	-0.53562	-2.10541
4199564	-9.39129	4.40691	-4.46222	1.40108	0.194132	2.71703	-0.619744	0.610657	2.09371	-1.5492
4596172	-10.887	4.08581	-0.797558	1.08971	-3.20423	0.326316	-1.19112	-1.4733	0.86362	-0.913412
2210593	-12.2828	1.88803	-3.42019	-0.10761	-4.33297	0.139795	3.41701	-2.61544	-8.50981	1.37174
5046306	-13.6001	3.78645	0.541911	-2.28743	-3.79718	0.991825	-2.23974	-1.08999	-1.15849	-0.708759
5221662	-13.4224	1.49818	-3.55199	3.24745	12.8872	-1.84832	2.80468	-2.84893	0.685852	-1.39808
4199357	-15.3118	3.62195	0.61001	8.23113	21.8671	2.6388	-0.543494	2.95367	2.65649	3.20574
3114598	-10.8292	2.63124	-0.0457677	-2.27845	-0.269394	3.61979	-10.2029	9.63104	2.14397	-5.21148
2071156	402.831	77.3974	-4.26625	8.39968	-1.57003	-0.903107	-4.19813	-2.90061	1.54642	2.28644
4027389	-9.10192	5.63042	0.896491	-1.82407	-0.956933	0.0241744	0.602946	1.76999	-0.917513	1.82885
1602885	402.751	77.4896	-5.98248	4.00102	0.416656	-3.38579	-2.73468	-0.231748	0.267508	2.29265
4867868	-14.0834	6.78576	-2.81513	-1.93463	-7.05023	-2.94271	-1.24581	-1.33552	-0.719253	-0.898606
